GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
recetas-backend,cl.duoc.app.recetas_backend.repository,RecetaRepository,0,6,0,0,0,1,0,1,0,1
recetas-backend,cl.duoc.app.recetas_backend.service,CustomUserDetailsService,0,32,0,0,0,6,0,3,0,3
recetas-backend,cl.duoc.app.recetas_backend.service,ValoracionServiceImpl,0,17,0,0,0,5,0,3,0,3
recetas-backend,cl.duoc.app.recetas_backend.service,ComentarioServiceImpl,0,28,0,0,0,8,0,5,0,5
recetas-backend,cl.duoc.app.recetas_backend.service,UsuarioServiceImpl,0,17,0,0,0,5,0,3,0,3
recetas-backend,cl.duoc.app.recetas_backend.service,BannerServiceImpl,0,13,0,0,0,3,0,3,0,3
recetas-backend,cl.duoc.app.recetas_backend.service,RecetaServiceImpl,0,52,0,0,0,11,0,9,0,9
recetas-backend,cl.duoc.app.recetas_backend.util,JwtUtil,0,86,1,3,0,16,1,9,0,8
recetas-backend,cl.duoc.app.recetas_backend.util,JwtRequestFilter,0,70,2,8,0,20,2,5,0,2
recetas-backend,cl.duoc.app.recetas_backend.util,Util,0,33,0,8,0,6,0,6,0,2
recetas-backend,cl.duoc.app.recetas_backend.controller,BannerController,0,21,0,0,0,7,0,3,0,3
recetas-backend,cl.duoc.app.recetas_backend.controller,ComentarioController,0,107,0,8,0,29,0,10,0,6
recetas-backend,cl.duoc.app.recetas_backend.controller,UsuarioController,0,120,3,11,0,27,3,8,0,4
recetas-backend,cl.duoc.app.recetas_backend.controller,RecetaController,6,144,11,17,0,36,11,11,0,8
recetas-backend,cl.duoc.app.recetas_backend.controller,ValoracionController,0,49,0,4,0,14,0,5,0,3
recetas-backend,cl.duoc.app.recetas_backend.config,SecurityConfig,0,216,0,0,0,33,0,9,0,9
recetas-backend,cl.duoc.app.recetas_backend,RecetasBackendApplication,5,3,0,0,2,1,1,1,1,1
